zona,hayMovimiento,fecha
Casa/Salon,1,2024-01-22 21:17:30
Casa/Salon,1,2024-01-22 21:17:45
Casa/Salon,1,2024-01-22 21:17:50
Casa/Salon,1,2024-01-22 21:18:00
Casa/Salon,1,2024-01-22 21:18:05
Casa/Salon,1,2024-01-22 21:18:15
Casa/Salon,1,2024-01-22 21:18:20
Casa/Salon,1,2024-01-22 21:18:25
Casa/Salon,1,2024-01-22 21:18:30
Casa/Salon,1,2024-01-22 21:18:40
Casa/Salon,1,2024-01-22 21:18:45
Casa/Salon,1,2024-01-22 21:18:50
Casa/Salon,1,2024-01-22 21:19:00
Casa/Salon,1,2024-01-22 21:19:05
Casa/Salon,1,2024-01-22 21:19:15
Casa/Salon,1,2024-01-22 21:19:20
Casa/Salon,1,2024-01-22 21:19:25
Casa/Salon,1,2024-01-22 21:19:30
Casa/Salon,1,2024-01-22 21:19:35
Casa/Salon,1,2024-01-22 21:19:40
Casa/Salon,1,2024-01-22 21:19:50
Casa/Salon,1,2024-01-22 21:20:00
Casa/Salon,1,2024-01-22 21:20:05
Casa/Salon,1,2024-01-22 21:20:10
Casa/Salon,1,2024-01-22 21:20:15
Casa/Salon,1,2024-01-22 21:20:20
Casa/Salon,1,2024-01-22 21:20:25
Casa/Salon,1,2024-01-22 21:20:35
Casa/Salon,1,2024-01-22 21:20:50
Casa/Salon,1,2024-01-22 21:20:55
Casa/Salon,1,2024-01-22 21:21:00
Casa/Salon,1,2024-01-22 21:21:15
Casa/Salon,1,2024-01-22 21:21:20
Casa/Salon,1,2024-01-22 21:21:25
Casa/Salon,1,2024-01-22 21:21:30
Casa/Salon,1,2024-01-22 21:21:35
Casa/Salon,1,2024-01-22 21:21:45
Casa/Salon,1,2024-01-22 21:21:50
Casa/Salon,1,2024-01-22 21:22:20
Casa/Salon,1,2024-01-22 21:22:35
Casa/Salon,1,2024-01-22 21:22:40
Casa/Salon,1,2024-01-22 21:22:45
Casa/Salon,1,2024-01-22 21:22:50
Casa/Salon,1,2024-01-22 21:23:10
Casa/Salon,1,2024-01-22 21:23:15
Casa/Salon,1,2024-01-22 21:23:25
Casa/Salon,1,2024-01-22 21:23:30
Casa/Salon,1,2024-01-22 21:23:40
Casa/Salon,1,2024-01-22 21:23:45
Casa/Salon,1,2024-01-22 21:23:50
Casa/Salon,1,2024-01-22 21:23:55
Casa/Salon,1,2024-01-22 21:24:00
Casa/Salon,1,2024-01-22 21:24:05
Casa/Salon,1,2024-01-22 21:24:10
Casa/Salon,1,2024-01-22 21:24:15
Casa/Salon,1,2024-01-22 21:24:20
Casa/Salon,1,2024-01-22 21:24:25
Casa/Salon,1,2024-01-22 21:24:35
Casa/Salon,1,2024-01-22 21:24:40
Casa/Salon,1,2024-01-22 21:24:50
Casa/Salon,1,2024-01-22 21:24:55
Casa/Salon,1,2024-01-22 21:25:05
Casa/Salon,1,2024-01-22 21:25:10
Casa/Salon,1,2024-01-22 21:25:15
Casa/Salon,1,2024-01-22 21:25:20
Casa/Salon,1,2024-01-22 21:25:30
Casa/Salon,1,2024-01-22 21:25:35
Casa/Salon,1,2024-01-22 21:25:40
Casa/Salon,1,2024-01-22 21:25:45
Casa/Salon,1,2024-01-22 21:25:50
Casa/Salon,1,2024-01-22 21:26:00
Casa/Salon,1,2024-01-22 21:26:05
Casa/Salon,1,2024-01-22 21:26:10
Casa/Salon,1,2024-01-22 21:26:25
Casa/Salon,1,2024-01-22 21:26:30
Casa/Salon,1,2024-01-22 21:26:35
Casa/Salon,1,2024-01-22 21:26:40
Casa/Salon,1,2024-01-22 21:26:45
Casa/Salon,1,2024-01-22 21:26:50
Casa/Salon,1,2024-01-22 21:26:55
Casa/Salon,1,2024-01-22 21:27:05
Casa/Salon,1,2024-01-22 21:27:10
Casa/Salon,1,2024-01-22 21:27:15
Casa/Salon,1,2024-01-22 21:27:30
Casa/Salon,1,2024-01-22 21:27:35
Casa/Salon,1,2024-01-22 21:28:15
Casa/Salon,1,2024-01-22 21:28:20
Casa/Salon,1,2024-01-22 21:28:25
Casa/Salon,1,2024-01-22 21:28:35
Casa/Salon,1,2024-01-22 21:29:00
Casa/Salon,1,2024-01-22 21:29:10
Casa/Salon,1,2024-01-22 21:29:20
Casa/Salon,1,2024-01-22 21:29:35
Casa/Salon,1,2024-01-22 21:29:40
Casa/Salon,1,2024-01-22 21:29:45
Casa/Salon,1,2024-01-22 21:29:50
Casa/Salon,1,2024-01-22 21:30:10
Casa/Salon,1,2024-01-22 21:30:15
Casa/Salon,1,2024-01-22 21:30:20
Casa/Salon,1,2024-01-22 21:30:25
Casa/Salon,1,2024-01-22 21:30:30
Casa/Salon,1,2024-01-22 21:30:35
Casa/Salon,1,2024-01-22 21:30:45
Casa/Salon,1,2024-01-22 21:30:50
Casa/Salon,1,2024-01-22 21:30:55
Casa/Salon,1,2024-01-22 21:31:10
Casa/Salon,1,2024-01-22 21:31:15
Casa/Salon,1,2024-01-22 21:31:20
Casa/Salon,1,2024-01-22 21:31:25
Casa/Salon,1,2024-01-22 21:31:30
Casa/Salon,1,2024-01-22 21:31:45
Casa/Salon,1,2024-01-22 21:31:50
Casa/Salon,1,2024-01-22 21:31:55
Casa/Salon,1,2024-01-22 21:32:00
Casa/Salon,1,2024-01-22 21:32:10
Casa/Salon,1,2024-01-22 21:32:15
Casa/Salon,1,2024-01-22 21:32:20
Casa/Salon,1,2024-01-22 21:32:25
Casa/Salon,1,2024-01-22 21:32:35
Casa/Salon,1,2024-01-22 21:32:40
Casa/Salon,1,2024-01-22 21:32:45
Casa/Salon,1,2024-01-22 21:32:50
Casa/Salon,1,2024-01-22 21:32:55
Casa/Salon,1,2024-01-22 21:33:00
Casa/Salon,1,2024-01-22 21:33:10
Casa/Salon,1,2024-01-22 21:33:15
Casa/Salon,1,2024-01-22 21:33:30
Casa/Salon,1,2024-01-22 21:33:40
Casa/Salon,1,2024-01-22 21:33:45
Casa/Salon,1,2024-01-22 21:34:00
Casa/Salon,1,2024-01-22 21:34:05
Casa/Salon,1,2024-01-22 21:34:10
Casa/Salon,1,2024-01-22 21:34:15
Casa/Salon,1,2024-01-22 21:34:25
Casa/Salon,1,2024-01-22 21:34:30
Casa/Salon,1,2024-01-22 21:34:35
Casa/Salon,1,2024-01-22 21:34:40
Casa/Salon,1,2024-01-22 21:34:45
Casa/Salon,1,2024-01-22 21:35:05
Casa/Salon,1,2024-01-22 21:35:10
Casa/Salon,1,2024-01-22 21:35:15
Casa/Salon,1,2024-01-22 21:35:20
Casa/Salon,1,2024-01-22 21:35:25
Casa/Salon,1,2024-01-22 21:35:35
Casa/Salon,1,2024-01-22 21:35:55
Casa/Salon,1,2024-01-22 21:36:00
Casa/Salon,1,2024-01-22 21:36:05
Casa/Salon,1,2024-01-22 21:36:15
Casa/Salon,1,2024-01-22 21:36:20
